symbol,name,weight
CAH,CARDINAL HEALTH INC,0.065277
SYY,SYSCO CORP,0.065176
HIG,HARTFORD INSURANCE GROUP INC,0.064804
DAL,DELTA AIR LINES INC,0.064206
WEC,WEC ENERGY GROUP INC,0.063989
PCG,P G + E CORP,0.063666
ED,CONSOLIDATED EDISON INC,0.063011
XYL,XYLEM INC,0.062897
TRGP,TARGA RESOURCES CORP,0.062832
MCHP,MICROCHIP TECHNOLOGY INC,0.062792
PRU,PRUDENTIAL FINANCIAL INC,0.062762
HUM,HUMANA INC,0.062096
OTIS,OTIS WORLDWIDE CORP,0.062055
FIS,FIDELITY NATIONAL INFO SERV,0.061666
EQT,EQT CORP,0.060982
KDP,KEURIG DR PEPPER INC,0.060656
ACGL,ARCH CAPITAL GROUP LTD,0.059953
HPE,HEWLETT PACKARD ENTERPRISE,0.059812
WAB,WABTEC CORP,0.059506
GEHC,GE HEALTHCARE TECHNOLOGY,0.059433
IQV,IQVIA HOLDINGS INC,0.059077
VRSK,VERISK ANALYTICS INC,0.058948
CSGP,COSTAR GROUP INC,0.058134
WTW,WILLIS TOWERS WATSON PLC,0.058096
VICI,VICI PROPERTIES INC,0.057892
CTSH,COGNIZANT TECH SOLUTIONS A,0.057881
STT,STATE STREET CORP,0.057354
DD,DUPONT DE NEMOURS INC,0.057132
NRG,NRG ENERGY INC,0.056137
OXY,OCCIDENTAL PETROLEUM CORP,0.055848
IBKR,INTERACTIVE BROKERS GRO CL A,0.055567
UAL,UNITED AIRLINES HOLDINGS INC,0.05502
NUE,NUCOR CORP,0.05481
CCL,CARNIVAL CORP,0.054402
IRM,IRON MOUNTAIN INC,0.054399
EME,EMCOR GROUP INC,0.053883
KVUE,KENVUE INC,0.053866
VTR,VENTAS INC,0.053692
EXR,EXTRA SPACE STORAGE INC,0.052739
ADM,ARCHER DANIELS MIDLAND CO,0.052297
EFX,EQUIFAX INC,0.0514
KEYS,KEYSIGHT TECHNOLOGIES IN,0.051332
DTE,DTE ENERGY COMPANY,0.051224
SMCI,SUPER MICRO COMPUTER INC,0.050932
MTB,M + T BANK CORP,0.050912
RJF,RAYMOND JAMES FINANCIAL INC,0.050774
